Category,category,FDR,inputGenes
Plastoglobule,COMPARTMENTS,8.79e-10,"['3702.P19366', '3702.Q01667', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S831', '3702.Q9SUI4', '3702.Q9SY97', '3702.Q9XF89']"
Chloroplast stroma,COMPARTMENTS,9.7e-10,"['3702.O49347', '3702.P19366', '3702.P25857', '3702.Q01667', '3702.Q42029', '3702.Q8LCA1', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S831', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SY97', '3702.Q9XF89']"
PSII associated light-harvesting complex II,COMPARTMENTS,1.64e-08,"['3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9SHR7', '3702.Q9XF87', '3702.Q9XF89']"
Apoplast,COMPARTMENTS,1.64e-08,"['3702.P0CJ48', '3702.P22953', '3702.P32961', '3702.P33154', '3702.P37702', '3702.P46422', '3702.Q42029', '3702.Q42547', '3702.Q9C5C2', '3702.Q9LRR9']"
Intracellular membrane-bounded organelle,COMPARTMENTS,3.02e-08,"['3702.A0A1R7T3B3', '3702.O23530', '3702.O49347', '3702.O80860', '3702.P0CJ48', '3702.P16972', '3702.P19366', '3702.P21218', '3702.P22953', '3702.P25857', '3702.P27521', '3702.P29381', '3702.P33154', '3702.P37702', '3702.P42699', '3702.P46422', '3702.P50318', '3702.Q01667', '3702.Q03250', '3702.Q38814', '3702.Q38833', '3702.Q39141', '3702.Q39142', '3702.Q39191', '3702.Q41931', '3702.Q41963', '3702.Q42029', '3702.Q42547', '3702.Q8LCA1', '3702.Q8RY71', '3702.Q949Q5', '3702.Q96500', '3702.Q9C5A9', '3702.Q9C5C2', '3702.Q9FG67', '3702.Q9LE80', '3702.Q9LRR9', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9SA56', '3702.Q9SHR7', '3702.Q9SLJ2', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89', '3702.Q9XIE2']"
Membrane-bounded organelle,COMPARTMENTS,6.99e-08,"['3702.A0A1R7T3B3', '3702.O23530', '3702.O49347', '3702.O65369', '3702.O80860', '3702.P0CJ48', '3702.P16972', '3702.P19366', '3702.P21218', '3702.P22953', '3702.P25857', '3702.P27521', '3702.P29381', '3702.P33154', '3702.P37702', '3702.P42699', '3702.P46422', '3702.P50318', '3702.Q01667', '3702.Q03250', '3702.Q38814', '3702.Q38833', '3702.Q39141', '3702.Q39142', '3702.Q39191', '3702.Q41931', '3702.Q41963', '3702.Q42029', '3702.Q42547', '3702.Q8LCA1', '3702.Q8RY71', '3702.Q949Q5', '3702.Q96500', '3702.Q9C5A9', '3702.Q9C5C2', '3702.Q9FG67', '3702.Q9LE80', '3702.Q9LRR9', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9SA56', '3702.Q9SHR7', '3702.Q9SLJ2', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89', '3702.Q9XIE2']"
Organelle,COMPARTMENTS,4.88e-06,"['3702.A0A1R7T3B3', '3702.O23530', '3702.O49347', '3702.O65369', '3702.O80860', '3702.P0CJ48', '3702.P16972', '3702.P19366', '3702.P21218', '3702.P22953', '3702.P25857', '3702.P27521', '3702.P29381', '3702.P33154', '3702.P37702', '3702.P42699', '3702.P46422', '3702.P50318', '3702.Q01667', '3702.Q03250', '3702.Q38814', '3702.Q38833', '3702.Q39141', '3702.Q39142', '3702.Q39191', '3702.Q41931', '3702.Q41963', '3702.Q42029', '3702.Q42547', '3702.Q8LCA1', '3702.Q8RY71', '3702.Q949Q5', '3702.Q96500', '3702.Q9C5A9', '3702.Q9C5C2', '3702.Q9FG67', '3702.Q9LE80', '3702.Q9LRR9', '3702.Q9LUT2', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9SA56', '3702.Q9SHR7', '3702.Q9SLJ2', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89', '3702.Q9XIE2', '3702.Q9ZQR8']"
Intracellular organelle,COMPARTMENTS,5.88e-06,"['3702.A0A1R7T3B3', '3702.O23530', '3702.O49347', '3702.O65369', '3702.O80860', '3702.P0CJ48', '3702.P16972', '3702.P19366', '3702.P21218', '3702.P22953', '3702.P25857', '3702.P27521', '3702.P29381', '3702.P33154', '3702.P37702', '3702.P42699', '3702.P46422', '3702.P50318', '3702.Q01667', '3702.Q03250', '3702.Q38814', '3702.Q38833', '3702.Q39141', '3702.Q39142', '3702.Q39191', '3702.Q41931', '3702.Q41963', '3702.Q42029', '3702.Q42547', '3702.Q8LCA1', '3702.Q8RY71', '3702.Q949Q5', '3702.Q96500', '3702.Q9C5A9', '3702.Q9C5C2', '3702.Q9FG67', '3702.Q9LE80', '3702.Q9LRR9', '3702.Q9LUT2', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9SA56', '3702.Q9SHR7', '3702.Q9SLJ2', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89', '3702.Q9XIE2']"
Cellular anatomical entity,COMPARTMENTS,8.89e-06,"['3702.A0A1R7T3B3', '3702.F4I2N7', '3702.O23530', '3702.O49347', '3702.O65369', '3702.O80860', '3702.P0CJ48', '3702.P16972', '3702.P19366', '3702.P21218', '3702.P22953', '3702.P25857', '3702.P27521', '3702.P29381', '3702.P32961', '3702.P33154', '3702.P37702', '3702.P42699', '3702.P46422', '3702.P50318', '3702.P54144', '3702.Q01667', '3702.Q03250', '3702.Q07488', '3702.Q38814', '3702.Q38833', '3702.Q39141', '3702.Q39142', '3702.Q39191', '3702.Q41931', '3702.Q41963', '3702.Q42029', '3702.Q42547', '3702.Q8GY23', '3702.Q8LCA1', '3702.Q8RWS6', '3702.Q8RX87', '3702.Q8RY71', '3702.Q940J8', '3702.Q949Q5', '3702.Q94C26', '3702.Q96500', '3702.Q9C5A9', '3702.Q9C5C2', '3702.Q9C7X0', '3702.Q9FG67', '3702.Q9FGT2', '3702.Q9FMT8', '3702.Q9LE80', '3702.Q9LRR9', '3702.Q9LUT2', '3702.Q9M1P5', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9SA56', '3702.Q9SHR7', '3702.Q9SLJ2', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89', '3702.Q9XIE2', '3702.Q9ZQR8']"
Chloroplast envelope,COMPARTMENTS,1.62e-05,"['3702.O80860', '3702.P21218', '3702.P27521', '3702.Q01667', '3702.Q42029', '3702.Q8LCA1', '3702.Q9S7N7', '3702.Q9SA56', '3702.Q9SUI4']"
